timecentral,lat,lon,headwaysecs,scheduledheadwaysecs,HR,HS,PR,I_PW
2022-06-22 03:00:00,30.277500771604938,-97.73797718106995,1784.441049382716,1643.20987654321,0.9385441121235873,0.5034843059904022,0.9385441121235875,197.0
2022-06-22 04:00:00,30.31660588380717,-97.70233721878863,1307.5417799752781,1498.5191594561186,0.8744227175702615,0.6729871320688087,1.1255772824297385,1.0
2022-06-22 05:00:00,30.285901264326387,-97.72643704894399,1429.6525481150436,1466.6560945721906,0.9746370643780904,0.6503607116499379,1.0253629356219096,565.0
2022-06-22 06:00:00,30.283779429745113,-97.73325749126667,1392.3777170397204,1371.044022512615,0.9813839662224328,0.533566757989596,0.9813839662224328,3756.0
2022-06-22 07:00:00,30.28837729762323,-97.73543193156122,1438.9572483794784,1400.1976785086176,0.962457914215626,0.3698721725448584,0.9624579142156261,5525.0
2022-06-22 08:00:00,30.289647083659666,-97.73296449958467,1431.8624991100035,1359.0892369763853,0.941017152838624,0.30941921444479625,0.941017152838624,6343.0
2022-06-22 09:00:00,30.28653973284746,-97.7323458935251,1335.9071482008833,1275.349204816951,0.9500054844576169,0.36114076424733776,0.9500054844576168,5782.0
2022-06-22 10:00:00,30.285170758072745,-97.73295442257697,1327.682119688024,1284.3374395607066,0.9600268723270602,0.4051974516072747,0.9600268723270604,5681.0
2022-06-22 11:00:00,30.286520052853863,-97.73235312998592,1367.713998863889,1301.2233199140508,0.9458955003737597,0.3703132295862991,0.9458955003737597,6329.0
2022-06-22 12:00:00,30.286669262266845,-97.73173083074954,1365.3329789851864,1302.6023426349723,0.9383704427132795,0.38038327622623647,0.9383704427132795,6989.0
2022-06-22 13:00:00,30.28582432396961,-97.73234376845612,1365.1391787183563,1304.0400040382626,0.9382294917405789,0.36690032330962963,0.9382294917405789,6595.0
2022-06-22 14:00:00,30.286408079290634,-97.73199060554985,1363.9429576432653,1315.005496116078,0.9480890967609439,0.4032650455400365,0.9480890967609441,7095.0
